id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Julia,,Brighton,42.34923,-71.17173,Entire home/apt,95,14,46,2020-2-6,0.59,1,335
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32371,-71.09458,Entire home/apt,150,2,212,2020-1-20,2.92,2,279
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31338,-71.11719,Entire home/apt,145,2,209,2020-1-3,2.72,1,315
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28607,-71.13236,Entire home/apt,131,30,7,2017-8-5,0.1,2,348
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28291,-71.13268,Entire home/apt,110,28,43,2019-10-28,0.56,2,348
1732804,Private Bedroom/king sized bed; shared bathroom,9090219,Thomas,,Dorchester,42.29041,-71.05853,Private room,70,1,125,2019-11-3,1.62,1,350
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Alice,,Jamaica Plain,42.31227,-71.10086,Entire home/apt,165,1,18,2019-7-10,0.43,1,0
1757417,Queen in Arts & Crafts Bungalow,9241244,Keith (& Beth),,West Roxbury,42.2779,-71.14423,Private room,60,1,69,2019-10-8,1.32,3,3
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28209,-71.13335,Private room,67,28,37,2019-10-12,0.48,2,364
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34279,-71.0711,Entire home/apt,1200,4,41,2019-10-23,0.6,1,227
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,,Brighton,42.35509,-71.16242,Private room,99,1,300,2019-11-9,4.34,2,351
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34947,-71.09265,Entire home/apt,265,91,2,2018-5-24,0.04,4,277
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30958,-71.04792,Private room,100,1,210,2019-10-27,2.74,3,363
1861070,Charming Gambrel on a sweet street,8879967,Joanne,,Roslindale,42.27691,-71.12823,Private room,75,2,49,2019-11-9,0.69,1,365
1863443,Perfect location in Fenway - washer/dryer & WIFI,9419684,Mike,,Fenway,42.34411,-71.1013,Entire home/apt,213,29,6,2017-4-29,0.09,68,173
1867834,Lux 2 Bedroom Apt Near Waterfront w/wifi,9419684,Mike,,West End,42.36422,-71.06926,Entire home/apt,293,91,4,2014-9-19,0.05,68,42
1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,312,29,6,2018-4-17,0.08,68,178
1868004,Lux 1 Bedroom near Charles St w/gym & WiFi,9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,217,91,6,2015-4-26,0.09,68,29
1868124,Perfectly located in Boston Theatre District,9419684,Mike,,Chinatown,42.35193,-71.06261,Entire home/apt,244,29,10,2019-2-1,0.15,68,153
1873046,"Cute 1 Bedroom Apartment, Downtown Boston",2356643,Voyage,,Downtown,42.35284,-71.06261,Entire home/apt,195,10,122,2020-1-4,1.73,9,365
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026,-71.11181,Entire home/apt,130,1,511,2019-12-17,6.71,1,251
1885386,Boston Large Private Bedroom  - walk to Train,6391436,Robin,,Jamaica Plain,42.30847,-71.11726,Private room,85,1,242,2019-12-22,3.36,4,91
1885825,Boston WALK TO TRAIN Room for 3 private bath,6391436,Robin,,Jamaica Plain,42.3088,-71.1172,Private room,70,1,275,2020-2-8,3.85,4,85
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.36056,-71.07141,Entire home/apt,230,91,1,2015-7-24,0.02,1,0
1887507,Location!! Downtown Near Waterfront,970787,Poli,,South Boston,42.34066,-71.05117,Private room,100,2,72,2020-1-16,0.94,2,14
1887581,"Beautiful 2bdrm, Near Convention Ctr, Waterfront",970787,Poli,,South Boston,42.34098,-71.05023,Entire home/apt,250,2,137,2019-10-26,1.8,2,215
1935042,Cozy Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.35706,-71.06618,Private room,110,1,228,2020-1-7,3.08,2,35
1944976,1 room with queen bed in Boston...,10060070,Diana,,Dorchester,42.31161,-71.04613,Private room,76,2,5,2015-9-6,0.09,1,0
1960407,Sunny Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.3568,-71.06749,Private room,135,1,149,2019-12-8,1.99,2,47
1961034,1BR in Brighton,10133129,Alp,,Brighton,42.34001,-71.15543,Entire home/apt,114,1,1,2016-5-21,0.02,1,0
1966195,*Super* downtown location w/heated infinity pool,9419684,Mike,,Downtown,42.3509,-71.06321,Entire home/apt,312,29,34,2018-9-9,0.48,68,357
2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,Jessica,,Dorchester,42.31502,-71.06115,Private room,70,91,143,2019-11-3,2.09,5,360
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711,-71.10582,Private room,120,91,38,2019-9-2,0.51,1,362
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34126,-71.15717,Private room,70,3,223,2020-2-10,3.24,2,214
2021483,Spacious Updated 2 Bed Boston Condo,10197317,Shannon,,South Boston,42.33535,-71.04741,Entire home/apt,500,1,7,2019-4-29,0.16,1,354
2022303,LOCATION! Modern 2BD 2 BA w/Parking,10393465,Gary,,South Boston,42.34179,-71.05274,Entire home/apt,350,2,193,2020-2-1,2.61,2,279
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.35046,-71.08894,Entire home/apt,150,91,34,2016-8-14,0.46,1,0
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.35672,-71.07147,Entire home/apt,165,5,104,2019-12-8,1.46,1,158
2141306,Modern 2Bd1BA in Downtown Boston,5355690,Kyle,,Downtown,42.35447,-71.06011,Entire home/apt,300,2,7,2017-6-18,0.09,1,0
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,,North End,42.36429,-71.05452,Entire home/apt,195,28,169,2019-12-16,2.34,1,320
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,,Allston,42.35159,-71.13347,Entire home/apt,125,30,48,2019-8-30,0.78,1,211
2187640,Beautiful apt near Boston Children's Hospital,9419684,Mike,,Chinatown,42.35136,-71.06236,Entire home/apt,220,29,3,2014-10-12,0.04,68,153
2187766,Great location near Boston Theater District w/pool,9419684,Mike,,Chinatown,42.35193,-71.06261,Entire home/apt,312,29,27,2019-5-22,0.38,68,344
